CMDLINE /Users/au619572/.virtualenvs/fabula_dashboard/bin/python app.py
MEM 0.109375 1714569780.1312
MEM 28.078125 1714569780.2363
MEM 41.421875 1714569780.3415
MEM 52.578125 1714569780.4466
MEM 60.171875 1714569780.5517
MEM 69.109375 1714569780.6568
MEM 77.734375 1714569780.7625
MEM 91.453125 1714569780.8677
MEM 106.140625 1714569780.9728
MEM 120.296875 1714569781.0779
MEM 131.875000 1714569781.1831
MEM 140.734375 1714569781.2883
MEM 151.453125 1714569781.3934
MEM 168.984375 1714569781.4967
MEM 179.359375 1714569781.6018
MEM 190.890625 1714569781.7069
MEM 207.437500 1714569781.8120
MEM 220.296875 1714569781.9172
MEM 228.359375 1714569782.0223
MEM 236.015625 1714569782.1274
MEM 242.828125 1714569782.2325
MEM 250.640625 1714569782.3376
MEM 256.484375 1714569782.4426
MEM 263.593750 1714569782.5477
MEM 267.062500 1714569782.6528
MEM 270.312500 1714569782.7578
MEM 273.750000 1714569782.8629
MEM 297.109375 1714569782.9680
MEM 302.781250 1714569783.0731
MEM 312.578125 1714569783.1782
MEM 316.984375 1714569783.2833
MEM 316.984375 1714569783.3884
MEM 316.984375 1714569783.4935
MEM 316.984375 1714569783.5986
MEM 316.984375 1714569783.7038
MEM 317.109375 1714569783.8092
MEM 317.109375 1714569783.9151
MEM 317.109375 1714569784.0203
MEM 317.109375 1714569784.1255
MEM 317.109375 1714569784.2327
MEM 317.109375 1714569784.3378
MEM 317.109375 1714569784.4430
MEM 317.109375 1714569784.5481
MEM 317.109375 1714569784.6533
MEM 317.109375 1714569784.7584
MEM 317.109375 1714569784.8635
MEM 317.109375 1714569784.9686
MEM 317.109375 1714569785.0693
MEM 317.109375 1714569785.1745
MEM 317.109375 1714569785.2796
MEM 317.109375 1714569785.3848
MEM 317.109375 1714569785.4901
MEM 317.109375 1714569785.5953
MEM 317.109375 1714569785.6963
MEM 317.109375 1714569785.8014
MEM 317.109375 1714569785.9026
MEM 317.109375 1714569786.0074
MEM 317.109375 1714569786.1130
MEM 317.109375 1714569786.2186
MEM 317.109375 1714569786.3215
MEM 317.109375 1714569786.4270
MEM 317.109375 1714569786.5324
MEM 317.109375 1714569786.6379
MEM 317.109375 1714569786.7432
MEM 317.109375 1714569786.8486
MEM 317.109375 1714569786.9538
MEM 317.109375 1714569787.0592
MEM 317.109375 1714569787.1627
MEM 317.109375 1714569787.2682
MEM 317.109375 1714569787.3735
MEM 317.109375 1714569787.4788
MEM 317.109375 1714569787.5795
MEM 317.109375 1714569787.6840
MEM 317.109375 1714569787.7896
MEM 317.109375 1714569787.8948
MEM 317.125000 1714569787.9954
MEM 317.125000 1714569788.1007
MEM 317.125000 1714569788.2030
MEM 317.125000 1714569788.3048
MEM 317.125000 1714569788.4067
MEM 317.125000 1714569788.5123
MEM 317.125000 1714569788.6178
MEM 317.125000 1714569788.7186
MEM 317.125000 1714569788.8237
MEM 317.125000 1714569788.9291
MEM 317.125000 1714569789.0321
MEM 317.125000 1714569789.1364
MEM 317.125000 1714569789.2419
MEM 317.125000 1714569789.3449
MEM 317.125000 1714569789.4457
MEM 317.125000 1714569789.5509
MEM 254.328125 1714569789.6525
MEM 252.609375 1714569789.7571
MEM 252.609375 1714569789.8625
MEM 252.609375 1714569789.9681
MEM 252.625000 1714569790.0701
MEM 252.625000 1714569790.1755
MEM 252.625000 1714569790.2793
MEM 252.625000 1714569790.3816
MEM 252.625000 1714569790.4857
MEM 252.625000 1714569790.5911
MEM 252.625000 1714569790.6966
MEM 252.625000 1714569790.8013
MEM 252.625000 1714569790.9026
MEM 252.625000 1714569791.0080
MEM 252.625000 1714569791.1134
MEM 252.625000 1714569791.2189
MEM 252.625000 1714569791.3244
MEM 252.625000 1714569791.4298
MEM 252.625000 1714569791.5354
MEM 252.640625 1714569791.6382
MEM 252.640625 1714569791.7397
MEM 252.640625 1714569791.8452
MEM 252.640625 1714569791.9507
MEM 252.640625 1714569792.0560
MEM 252.640625 1714569792.1612
MEM 252.640625 1714569792.2666
MEM 252.640625 1714569792.3722
MEM 252.640625 1714569792.4775
MEM 252.640625 1714569792.5831
MEM 252.656250 1714569792.6882
MEM 252.656250 1714569792.7920
MEM 252.656250 1714569792.8974
MEM 252.656250 1714569793.0028
MEM 252.656250 1714569793.1049
MEM 252.656250 1714569793.2103
MEM 252.656250 1714569793.3157
MEM 252.656250 1714569793.4204
MEM 252.656250 1714569793.5259
MEM 252.656250 1714569793.6275
MEM 252.656250 1714569793.7329
MEM 252.656250 1714569793.8383
MEM 252.656250 1714569793.9437
MEM 252.656250 1714569794.0446
MEM 252.656250 1714569794.1498
MEM 252.656250 1714569794.2538
MEM 252.656250 1714569794.3589
MEM 252.656250 1714569794.4641
MEM 245.000000 1714569794.5692
MEM 245.000000 1714569794.6743
MEM 245.000000 1714569794.7762
MEM 183.671875 1714569794.8814
MEM 183.671875 1714569794.9867
MEM 183.671875 1714569795.0919
MEM 183.671875 1714569795.1972
MEM 183.671875 1714569795.3024
MEM 183.671875 1714569795.4076
MEM 183.671875 1714569795.5117
MEM 183.671875 1714569795.6170
MEM 183.671875 1714569795.7195
MEM 183.671875 1714569795.8208
MEM 183.671875 1714569795.9262
MEM 183.671875 1714569796.0318
MEM 183.671875 1714569796.1375
MEM 183.671875 1714569796.2422
MEM 183.671875 1714569796.3476
MEM 183.671875 1714569796.4522
MEM 183.671875 1714569796.5576
MEM 183.671875 1714569796.6631
MEM 183.671875 1714569796.7682
MEM 183.671875 1714569796.8713
MEM 183.671875 1714569796.9769
MEM 183.671875 1714569797.0783
MEM 183.671875 1714569797.1828
MEM 183.671875 1714569797.2882
MEM 183.671875 1714569797.3936
MEM 183.671875 1714569797.4989
MEM 183.671875 1714569797.6044
MEM 183.671875 1714569797.7091
MEM 183.671875 1714569797.8109
MEM 183.671875 1714569797.9151
MEM 183.671875 1714569798.0206
MEM 183.671875 1714569798.1235
MEM 183.671875 1714569798.2262
MEM 183.671875 1714569798.3318
MEM 183.671875 1714569798.4372
MEM 183.671875 1714569798.5407
MEM 183.671875 1714569798.6461
MEM 183.671875 1714569798.7496
MEM 183.671875 1714569798.8500
MEM 183.671875 1714569798.9505
MEM 183.671875 1714569799.0560
MEM 183.671875 1714569799.1615
MEM 183.671875 1714569799.2670
MEM 183.671875 1714569799.3723
MEM 183.671875 1714569799.4784
MEM 183.671875 1714569799.5807
MEM 183.671875 1714569799.6861
MEM 183.671875 1714569799.7912
MEM 183.671875 1714569799.8967
MEM 183.671875 1714569800.0022
MEM 183.703125 1714569800.1024
MEM 183.703125 1714569800.2078
MEM 183.703125 1714569800.3116
MEM 183.703125 1714569800.4162
MEM 183.703125 1714569800.5200
MEM 183.703125 1714569800.6229
MEM 183.703125 1714569800.7284
MEM 183.703125 1714569800.8296
MEM 183.703125 1714569800.9311
MEM 183.703125 1714569801.0357
MEM 183.703125 1714569801.1412
MEM 183.703125 1714569801.2467
MEM 183.703125 1714569801.3522
MEM 183.703125 1714569801.4579
MEM 183.703125 1714569801.5630
MEM 183.718750 1714569801.6656
MEM 183.718750 1714569801.7710
MEM 183.718750 1714569801.8741
MEM 183.718750 1714569801.9759
MEM 183.718750 1714569802.0815
MEM 183.718750 1714569802.1866
MEM 183.718750 1714569802.2917
MEM 183.718750 1714569802.3969
MEM 183.718750 1714569802.4988
MEM 183.718750 1714569802.6011
MEM 183.781250 1714569802.7018
MEM 183.781250 1714569802.8069
MEM 183.781250 1714569802.9103
MEM 183.781250 1714569803.0155
MEM 183.781250 1714569803.1206
MEM 183.781250 1714569803.2257
MEM 183.781250 1714569803.3309
MEM 183.781250 1714569803.4360
MEM 183.781250 1714569803.5411
MEM 183.781250 1714569803.6462
MEM 183.906250 1714569803.7514
MEM 183.906250 1714569803.8565
MEM 183.906250 1714569803.9616
MEM 183.906250 1714569804.0667
MEM 183.906250 1714569804.1679
MEM 183.906250 1714569804.2695
MEM 183.906250 1714569804.3747
MEM 183.906250 1714569804.4797
MEM 183.906250 1714569804.5849
MEM 183.906250 1714569804.6899
MEM 183.906250 1714569804.7950
MEM 183.906250 1714569804.9001
MEM 183.906250 1714569805.0046
MEM 183.906250 1714569805.1098
MEM 183.906250 1714569805.2150
MEM 183.906250 1714569805.3201
MEM 183.906250 1714569805.4252
MEM 183.906250 1714569805.5303
MEM 183.906250 1714569805.6354
MEM 183.906250 1714569805.7406
MEM 183.906250 1714569805.8457
MEM 183.906250 1714569805.9508
MEM 183.906250 1714569806.0559
MEM 183.906250 1714569806.1610
MEM 183.906250 1714569806.2661
MEM 183.906250 1714569806.3713
MEM 183.906250 1714569806.4764
MEM 183.906250 1714569806.5815
MEM 183.906250 1714569806.6866
MEM 183.906250 1714569806.7918
MEM 183.906250 1714569806.8969
MEM 183.906250 1714569807.0020
MEM 183.906250 1714569807.1071
MEM 183.906250 1714569807.2122
MEM 183.906250 1714569807.3173
MEM 183.906250 1714569807.4224
MEM 183.906250 1714569807.5275
MEM 183.906250 1714569807.6327
MEM 183.906250 1714569807.7378
MEM 183.906250 1714569807.8429
MEM 183.906250 1714569807.9480
MEM 183.906250 1714569808.0531
MEM 183.906250 1714569808.1582
MEM 183.906250 1714569808.2633
MEM 183.906250 1714569808.3684
MEM 183.906250 1714569808.4734
MEM 183.906250 1714569808.5784
MEM 183.906250 1714569808.6835
MEM 183.921875 1714569808.7885
MEM 183.921875 1714569808.8936
MEM 183.921875 1714569808.9987
MEM 183.921875 1714569809.1036
MEM 183.921875 1714569809.2088
MEM 183.953125 1714569809.3109
MEM 183.953125 1714569809.4129
MEM 183.953125 1714569809.5158
MEM 183.953125 1714569809.6209
MEM 183.953125 1714569809.7261
MEM 183.953125 1714569809.8312
MEM 183.953125 1714569809.9364
MEM 183.953125 1714569810.0415
MEM 183.953125 1714569810.1467
MEM 183.953125 1714569810.2470
MEM 183.953125 1714569810.3522
MEM 183.953125 1714569810.4573
MEM 183.953125 1714569810.5624
MEM 183.953125 1714569810.6676
MEM 183.953125 1714569810.7727
MEM 183.953125 1714569810.8778
MEM 183.953125 1714569810.9830
MEM 183.953125 1714569811.0881
MEM 183.953125 1714569811.1933
MEM 183.953125 1714569811.2972
