CMDLINE /Users/au619572/.virtualenvs/fabula_dashboard/bin/python app.py
MEM 183.953125 1714569811.3983
MEM 183.953125 1714569811.5034
MEM 183.953125 1714569811.6086
MEM 183.953125 1714569811.7137
MEM 183.953125 1714569811.8140
MEM 183.953125 1714569811.9192
MEM 183.953125 1714569812.0243
MEM 183.953125 1714569812.1295
MEM 183.937500 1714569812.2332
MEM 183.937500 1714569812.3383
MEM 183.937500 1714569812.4435
MEM 183.937500 1714569812.5471
MEM 183.937500 1714569812.6522
MEM 183.937500 1714569812.7574
MEM 183.921875 1714569812.8625
MEM 183.906250 1714569812.9677
MEM 183.906250 1714569813.0728
MEM 183.906250 1714569813.1779
MEM 183.906250 1714569813.2830
MEM 183.906250 1714569813.3834
MEM 183.906250 1714569813.4885
MEM 183.906250 1714569813.5925
MEM 183.906250 1714569813.6977
MEM 183.906250 1714569813.8029
MEM 183.875000 1714569813.9066
MEM 183.875000 1714569814.0117
MEM 183.875000 1714569814.1137
MEM 183.875000 1714569814.2187
MEM 183.875000 1714569814.3220
MEM 183.890625 1714569814.4271
MEM 183.890625 1714569814.5321
MEM 183.890625 1714569814.6352
MEM 183.890625 1714569814.7380
MEM 183.890625 1714569814.8437
MEM 183.890625 1714569814.9468
MEM 183.890625 1714569815.0519
MEM 183.890625 1714569815.1571
MEM 183.890625 1714569815.2599
MEM 183.890625 1714569815.3614
MEM 183.890625 1714569815.4666
MEM 183.890625 1714569815.5717
MEM 183.890625 1714569815.6769
MEM 183.890625 1714569815.7820
MEM 183.890625 1714569815.8871
MEM 183.890625 1714569815.9923
MEM 183.890625 1714569816.0964
MEM 183.890625 1714569816.2015
MEM 183.890625 1714569816.3066
MEM 183.890625 1714569816.4117
MEM 183.890625 1714569816.5168
MEM 183.890625 1714569816.6193
MEM 183.890625 1714569816.7246
MEM 183.890625 1714569816.8300
MEM 183.890625 1714569816.9355
MEM 183.906250 1714569817.0411
MEM 183.906250 1714569817.1466
MEM 183.906250 1714569817.2472
MEM 183.906250 1714569817.3525
MEM 183.906250 1714569817.4546
MEM 183.906250 1714569817.5598
MEM 183.906250 1714569817.6649
MEM 183.906250 1714569817.7700
MEM 183.906250 1714569817.8733
MEM 183.906250 1714569817.9785
MEM 183.906250 1714569818.0838
MEM 183.906250 1714569818.1864
MEM 183.906250 1714569818.2911
MEM 183.906250 1714569818.3963
MEM 183.906250 1714569818.5016
MEM 183.921875 1714569818.6072
MEM 183.921875 1714569818.7109
MEM 183.921875 1714569818.8161
MEM 183.921875 1714569818.9215
MEM 183.921875 1714569819.0238
MEM 183.921875 1714569819.1285
MEM 183.921875 1714569819.2340
MEM 183.921875 1714569819.3395
MEM 183.921875 1714569819.4424
MEM 183.921875 1714569819.5469
MEM 183.937500 1714569819.6525
MEM 183.937500 1714569819.7535
MEM 183.937500 1714569819.8584
MEM 183.937500 1714569819.9636
MEM 183.937500 1714569820.0689
MEM 183.937500 1714569820.1731
MEM 183.937500 1714569820.2786
MEM 183.937500 1714569820.3840
MEM 183.937500 1714569820.4887
MEM 183.937500 1714569820.5894
MEM 183.937500 1714569820.6929
MEM 183.937500 1714569820.7984
MEM 183.937500 1714569820.9037
MEM 183.937500 1714569821.0071
MEM 183.937500 1714569821.1076
MEM 183.937500 1714569821.2130
MEM 183.937500 1714569821.3185
MEM 183.937500 1714569821.4240
MEM 183.937500 1714569821.5295
MEM 183.937500 1714569821.6348
MEM 183.937500 1714569821.7390
MEM 183.937500 1714569821.8444
