CMDLINE /Users/au619572/.virtualenvs/fabula_dashboard/bin/python app.py
MEM 0.140625 1714569856.2940
MEM 27.375000 1714569856.3992
MEM 41.703125 1714569856.5043
MEM 54.578125 1714569856.6094
MEM 62.953125 1714569856.7146
MEM 72.671875 1714569856.8197
MEM 85.656250 1714569856.9201
MEM 91.812500 1714569857.0253
MEM 105.671875 1714569857.1304
MEM 117.937500 1714569857.2355
MEM 130.015625 1714569857.3412
MEM 137.625000 1714569857.4463
MEM 148.578125 1714569857.5514
MEM 167.234375 1714569857.6565
MEM 176.984375 1714569857.7616
MEM 188.875000 1714569857.8667
MEM 196.609375 1714569857.9707
MEM 215.937500 1714569858.0758
MEM 223.718750 1714569858.1809
MEM 233.031250 1714569858.2861
MEM 237.078125 1714569858.3911
MEM 246.265625 1714569858.4963
MEM 251.140625 1714569858.6014
MEM 257.718750 1714569858.7065
MEM 263.984375 1714569858.8116
MEM 267.625000 1714569858.9167
MEM 270.968750 1714569859.0217
MEM 293.687500 1714569859.1268
MEM 297.609375 1714569859.2318
MEM 306.500000 1714569859.3370
MEM 314.281250 1714569859.4375
MEM 315.718750 1714569859.5427
MEM 315.718750 1714569859.6479
MEM 315.718750 1714569859.7531
MEM 315.718750 1714569859.8543
MEM 315.718750 1714569859.9595
MEM 315.843750 1714569860.0646
MEM 315.843750 1714569860.1667
MEM 315.843750 1714569860.2725
MEM 315.843750 1714569860.3776
MEM 315.843750 1714569860.4828
MEM 315.843750 1714569860.5879
MEM 315.843750 1714569860.6930
MEM 315.843750 1714569860.7982
MEM 315.843750 1714569860.9033
MEM 315.843750 1714569861.0084
MEM 315.843750 1714569861.1104
MEM 315.843750 1714569861.2153
MEM 315.843750 1714569861.3183
MEM 315.843750 1714569861.4234
MEM 315.843750 1714569861.5286
MEM 315.843750 1714569861.6338
MEM 315.843750 1714569861.7390
MEM 315.843750 1714569861.8440
MEM 315.843750 1714569861.9468
MEM 315.843750 1714569862.0520
MEM 315.843750 1714569862.1549
MEM 315.843750 1714569862.2601
MEM 315.843750 1714569862.3633
MEM 315.843750 1714569862.4654
MEM 315.843750 1714569862.5682
MEM 315.843750 1714569862.6737
MEM 315.843750 1714569862.7791
MEM 315.843750 1714569862.8846
MEM 315.843750 1714569862.9899
MEM 315.843750 1714569863.0953
MEM 315.843750 1714569863.2041
MEM 315.843750 1714569863.3096
MEM 315.843750 1714569863.4145
MEM 315.843750 1714569863.5158
MEM 315.843750 1714569863.6195
MEM 315.843750 1714569863.7215
MEM 315.843750 1714569863.8269
MEM 315.843750 1714569863.9296
MEM 315.843750 1714569864.0337
MEM 315.843750 1714569864.1348
MEM 315.843750 1714569864.2404
MEM 315.843750 1714569864.3459
MEM 315.843750 1714569864.4515
MEM 315.843750 1714569864.5568
MEM 315.843750 1714569864.6622
MEM 315.843750 1714569864.7632
MEM 315.843750 1714569864.8688
MEM 315.843750 1714569864.9742
MEM 315.843750 1714569865.0796
MEM 315.843750 1714569865.1848
MEM 315.843750 1714569865.2901
MEM 315.843750 1714569865.3945
MEM 315.843750 1714569865.4983
